schedule	version_from	version_to	URL_en
4	20100827	20110803	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20100827.html#wb-cont
4	20110804	20120326	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20110804.html#wb-cont
4	20120327	20120628	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20120327.html#wb-cont
4	20120629	20120929	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20120629.html#wb-cont
4	20120930	20130227	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20120930.html#wb-cont
4	20130228	20130331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20130228.html#wb-cont
4	20130401	20130618	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20130401.html#wb-cont
4	20130619	20130625	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20130619.html#wb-cont
4	20130626	20140930	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20130626.html#wb-cont
4	20141001	20141031	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20141001.html#wb-cont
4	20141101	20141127	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20141101.html#wb-cont
4	20141128	20151231	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20141128.html#wb-cont
4	20160101	20171005	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20160101.html#wb-cont
4	20171006	20171129	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20171006.html#wb-cont
4	20171130	20181212	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20171130.html#wb-cont
4	20181213	20190331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20181213.html#wb-cont
4	20190401	20190710	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20190401.html#wb-cont
4	20190711	20190714	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20190711.html#wb-cont
4	20190715	20190827	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20190715.html#wb-cont
4	20190828	20200116	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20190828.html#wb-cont
4	20200117		https://laws-lois.justice.gc.ca/eng/acts/F-11/page-34.html#h-230578
5	20050401	20051211	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230640-20050401.html#wb-cont
5	20051212	20111115	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230640-20051212.html#wb-cont
5	20111116	20130331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230640-20111116.html#wb-cont
5	20130401	20141031	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230640-20130401.html#wb-cont
5	20141101	20150531	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230640-20141101.html#wb-cont
5	20150601	20180311	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230640-20150601.html#wb-cont
5	20180312	20190711	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230640-20180312.html#wb-cont
5	20190712	20190827	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230640-20190712.html#wb-cont
5	20190828	20200116	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230640-20190828.html#wb-cont
5	20200117		https://laws-lois.justice.gc.ca/eng/acts/F-11/page-35.html#h-230641
6	20061212	20070414	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20061212.html#wb-cont
6	20070415	20080115	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20070415.html#wb-cont
6	20080116	20080531	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20080116.html#wb-cont
6	20080601	20080701	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20080601.html#wb-cont
